,gene,tau,max_group
444,Stk32a,0.88351065,Astro-CB NN
445,Sema6a,0.52627546,SC Otx2 Gcnt4 Gaba
446,Prdm6,0.9952482,ABC NN
447,Lmnb1,0.5525625,MOB-STR-CTX Inh IMN
448,Megf10,0.9383756,CBX MLI Megf11 Gaba
449,Csf1r,0.985008,Microglia NN
450,Grp,0.9540033,NP SUB Glut
451,Skor2,0.9877263,CBX Purkinje Gaba
452,Dok6,0.26976293,SPVO Mafa Meis2 Glut
453,Unc93b1,0.98097813,Microglia NN
454,Neat1,0.91379726,Monocytes NN
455,Map4k2,0.402008,Endo NN
456,Plcb3,0.95537925,CBX Purkinje Gaba
457,Dagla,0.62308466,CBX Purkinje Gaba
458,Mpeg1,0.9912456,DC NN
459,Rorb,0.7837128,SCsg Pde5a Glut
460,Mamdc2,0.9470057,MM Foxb1 Glut
461,Vldlr,0.49685887,CBX Purkinje Gaba
462,Cd274,0.947233,HPF CR Glut
463,Pdcd1lg2,0.98325074,Lymphoid NN
464,Gldc,0.944649,Astro-OLF NN
465,Prkg1,0.3987433,CBX Purkinje Gaba
466,Pten,0.25843653,Peri NN
467,Pax2,0.9540496,CBX Golgi Gly-Gaba
468,Lbx1,0.96771467,POR Spp1 Gly-Gaba
469,Adra2a,0.7994693,PH-an Pitx2 Glut
470,Rbm3,0.4142214,PB-CUN Ppp1r1c Glut
471,Cybb,0.9916489,BAM NN
472,Gria3,0.38370928,CBX MLI Megf11 Gaba
473,Gpc4,0.89761114,DG Glut
474,Fgf13,0.47357163,Lamp5 Lhx6 Gaba
475,Pnck,0.40443757,VMH Fezf1 Glut
476,Bcap31,0.41561404,PB-CUN Ppp1r1c Glut
477,Il1rapl1,0.25642252,MOB-mi Frmd7 Gaba
478,Itm2a,0.92073584,Endo NN
479,Cldn2,0.9978772,CHOR NN
480,Frmpd3,0.46594426,STRv Lhx8 Gaba
481,Dcx,0.50184065,MOB-STR-CTX Inh IMN
482,Ptchd1,0.5487899,TRS Sln Glut
483,Tlr7,0.99438983,BAM NN
